I 10:29:05.640   [SYSTEM]       RESUME from PAUSE
I 12:50:33.215   [MOTION]       Motion Mode Changed: 0->3
E 12:50:33.217   [SYSTEM]       JNT OVR SPD REF: 0 / 28844.332553
E 12:50:33.217   [SYSTEM]       JNT OVR SPD REF: 1 / 12984.973671
E 12:50:33.217   [SYSTEM]       JNT OVR SPD REF: 2 / 2680.872428
E 12:50:33.217   [SYSTEM]       JNT OVR SPD REF: 3 / 48628.624011
E 12:50:33.217   [SYSTEM]       JNT OVR SPD REF: 4 / 22631.080020
E 12:50:33.217   [SYSTEM]       JNT OVR SPD REF: 5 / 47184.895421
I 12:50:33.217   [MOTION]       Motion Mode Changed: 3->0
E 12:50:33.217   [SYSTEM]       MSG:316/MSG_MOVE_RUNTIME_TERMINATE_OVER_SPD
I 12:50:41.453   [SYSTEM]       CMD Power On
I 12:50:41.689   [TOOLFLANGE]   TFB RST 92 0 1 1 145
I 12:50:41.699   [SYSTEM]       STATE POWER ENGAGED
I 12:50:42.217   [MOTOR]        BNO 5 TYP:140 MDR:1 BLM:0 SEN:1 SLE:94.386047
I 12:50:42.217   [MOTOR]        BNO 0 TYP:250 MDR:1 BLM:0 SEN:1 SLE:32.305461
I 12:50:42.218   [MOTOR]        BNO 4 TYP:140 MDR:0 BLM:0 SEN:1 SLE:-45.277160
I 12:50:42.218   [MOTOR]        BNO 6 TYP:140 MDR:0 BLM:0 SEN:1 SLE:0.136622
I 12:50:42.218   [MOTOR]        BNO 1 TYP:250 MDR:0 BLM:0 SEN:1 SLE:-25.144768
I 12:50:42.218   [MOTOR]        BNO 2 TYP:250 MDR:1 BLM:0 SEN:1 SLE:5.336745
I 12:50:42.218   [MOTOR]        BNO 3 TYP:250 MDR:1 BLM:0 SEN:1 SLE:97.505729
I 12:50:42.748   [SYSTEM]       Servo Call: 1/1
I 12:50:42.748   [SYSTEM]       ServoState: 0
I 12:50:42.748   [SYSTEM]       ServoState: 1
I 12:50:42.842   [SYSTEM]       Motor Firmware: 0 : 1250919
I 12:50:42.842   [SYSTEM]       Motor Firmware: 1 : 1250313
I 12:50:42.842   [SYSTEM]       Motor Firmware: 2 : 1250313
I 12:50:42.842   [SYSTEM]       Motor Firmware: 3 : 1250313
I 12:50:42.843   [SYSTEM]       Motor Firmware: 4 : 1250313
I 12:50:42.843   [SYSTEM]       Motor Firmware: 5 : 1250313
I 12:50:42.843   [SYSTEM]       Motor Firmware: 6 : 1250313
I 12:50:42.843   [SYSTEM]       Side Firmware : 29
I 12:50:42.843   [SYSTEM]       ToolFlange Firmware : 92
I 12:50:42.843   [SYSTEM]       Motor PGain: 0 : 360/34/400
I 12:50:42.843   [SYSTEM]       Motor PGain: 1 : 360/34/400
I 12:50:42.843   [SYSTEM]       Motor PGain: 2 : 220/40/400
I 12:50:42.843   [SYSTEM]       Motor PGain: 3 : 360/34/400
I 12:50:42.843   [SYSTEM]       Motor PGain: 4 : 35/5/80
I 12:50:42.843   [SYSTEM]       Motor PGain: 5 : 35/5/80
I 12:50:42.843   [SYSTEM]       Motor PGain: 6 : 35/5/80
I 12:50:42.843   [SYSTEM]       ServoState: 2
I 12:50:42.843   [SYSTEM]       ServoState: 3
I 12:50:44.404   [SYSTEM]       Motor Acts: 0[-0.172083,0.171430/0.174041]
I 12:50:44.404   [SYSTEM]       Motor Acts: 1[-0.173388,0.171430/0.174041]
I 12:50:44.404   [SYSTEM]       Motor Acts: 2[-0.170342,0.171648/0.174041]
I 12:50:44.404   [SYSTEM]       Motor Acts: 3[-0.171213,0.170778/0.174041]
I 12:50:44.404   [SYSTEM]       Motor Acts: 4[-0.117042,0.122046/0.130531]
I 12:50:44.404   [SYSTEM]       Motor Acts: 5[-0.118348,0.119871/0.130531]
I 12:50:44.404   [SYSTEM]       Motor Acts: 6[-0.120306,0.119000/0.130531]
I 12:50:44.404   [SYSTEM]       ServoState: 4
I 12:50:44.404   [SYSTEM]       ServoState: 5
I 12:50:44.404   [SYSTEM]       ServoState: 6
I 12:50:44.404   [SYSTEM]       Reference On
I 12:50:46.828   [MOTION]       Motion Mode Changed: 0->3
E 12:50:46.829   [SYSTEM]       JNT OVR SPD REF: 0 / 28843.244798
